Report Myrmidons - Ant Simulator |2020-10-15 09:27:41
LogicTime|AnthillFood|ForagingAntSize|ForagingAntChange|PatrollingAntSize|PatrollingAntChange|EnemySize
20			2000		82					82				36					36				50
40			2000		78					-4				36					0				-1
60			2000		78					0				36					0				-2
80			2000		76					-2				36					0				0
100			2000		76					0				36					0				-1
120			2000		76					0				36					0				0
140			2000		76					0				36					0				0
160			2007		77					1				36					0				0
180			2022		79					2				36					0				0
200			2049		78					-1				36					0				0
220			2030		77					-1				37					1				0
240			1845		77					0				37					0				0
260			1789		77					0				37					0				0
280			1798		77					0				37					0				0
300			1804		77					0				37					0				0
320			1818		76					-1				37					0				0
340			1846		76					0				35					-2				0
360			1871		77					1				34					-1				0
380			1853		77					0				32					-2				0
400			1732		77					0				32					0				0
420			1553		77					0				32					0				0
440			1482		77					0				32					0				-1
